MedicationID,MedicationName,MedicationNDC,MedicationFormularyCode,Ingredients
00022ce1-db4e-5481-bec8-ea2540356f04,trifluoperazine,,,
0002b0c9-babe-595a-a872-fa278602e415,Miconazole Powder 2%,00064065001,MICO2P,
00047cd9-0449-5ebb-aa18-daf4086171f6,Propranolol LA,43478090288,PROP120,
0005e2e7-c290-5c35-a729-8c9948dade13,,,,"Medication/735a03d2-d2f5-56d0-93dc-2bc21b38bd5c, Medication/d15e202c-9782-511d-848d-5cd130f8bcbb"
000e1bfa-171a-5dde-8a1e-d7eb86a58500,Aldesleukin,53905099101,IL2IND,
00105827-8065-5e1d-b8ca-dd2adafca269,,,,"Medication/d30f9354-c486-593f-97f1-2b76314d7cf1, Medication/3b3a088a-65c9-5599-937d-c6769aec3a08"
00167a34-2169-51f1-bae7-99cd5eb8caee,Heparin CRRT,63323054011,HEP10I,
00175ed9-f13b-53cf-8d99-0317854b971c,Testosterone 4 mg Patch,52544007730,TEST4P,
0018c8ee-f76e-5e75-9c63-9274bc372f5b,Ethambutol HCl,68180028001,ETHA100,
001cc977-847c-5b11-baa1-6884b3be08a7,aluminum acetate,16500002322,DOMEPKT,
0023ea94-a132-5c55-a2a1-77d34cfa7b3a,Azathioprine Sodium,55390060020,AZA100I,
002a9092-8c28-5f9b-942c-3ce049b08766,OXcarbazepine,65162064978,OXCA60L,
002c9ac1-a995-5eff-b485-ccb36ee0da28,Procarbazine HCl,54482005301,PROC50,
002e60c6-10a8-5c43-8fa6-e56b429d31e5,Lidocaine 1% (For PICC/Midline Insertions),00409471302,LIDO15AM,
002eb49e-0b89-5ad2-a64c-55665ac7fb1e,Bactrim Desensitization,55045122403,BACTDES5,
002f44dd-3083-5072-898d-bc26dcd2fcd8,sodium chloride,00904386575,SODI65S,
0032acfe-60cb-57e0-b8c7-bab2aef0dd17,,,,"Medication/3bbeabc0-e549-551f-a857-c3fae0053819, Medication/9a151673-0b5c-58b8-b5a8-2385c463e679"
0032b87c-f19d-58f7-90b0-4f64a63ad281,Brimonidine 0.2% Ophthalmic Soln,,,
0037a436-ae8d-5e0d-a47b-df0b56b1ff77,,,,"Medication/9ec74857-a579-52b4-8a56-61b7cb11048e, Medication/c1080604-edc1-5c52-88d4-69881e7e93d4"
0039310b-2d8d-507b-be26-5b5bb6ca8895,desvenlafaxine succinate,00008122214,DESV100,
003dd8b7-bb25-5e8f-b46b-e4b2186b9de5,Phytonadione,00409915701,PHYT1L,
0041f149-8c0d-589d-a61d-198fa86f3378,OxycoDONE,66689040150,OXYCO5L,
004649d8-ab3c-50c8-950c-cc00dd683327,,,,"Medication/ef27ef32-4c8c-5d7e-a0d0-7755e056000b, Medication/1bfbbbfd-66d0-5f03-b883-4a324a49cc01"
004c447b-5553-5622-9d70-6fcce6aea791,Fondaparinux Sodium,66203230001,FOND2.5I,
004f40ac-0b6a-5c5c-8fcc-0004a767007b,Clonidine Patch 0.3 mg/24 hr,00597003334,CLON3P,
004fd3c2-47b0-5fe7-b64b-7880f786f9b3,testosterone propionate,00051845030,TEST5G,
0050e58c-012a-5d92-bfb6-1d0617feabfd,,,,"Medication/0d11f0b2-481c-5f75-8c83-2b06980057cc, Medication/2b2d3a39-ca72-5dfc-a66f-e13c931529c8"
00523c64-cf45-56ac-9023-887cc605b366,dextroamphetamine-amphetamine,00555097102,ADDE5,
0052792c-16c1-5355-a241-a1b8aa058206,LaMOTrigine Patch for Allergy Testing,00093003901,LAMO100P,
0052aecc-01cd-5e35-a7ed-d9dd62f608b9,sulfacetamide sodium (acne),,,
0054450c-fd4b-5187-9933-bbc5a0d7c46d,Artificial Tears,00023050601,REFRESH,
005b3fe3-7ae1-59f1-ad18-c7f55bdc4f5e,ATG (Horse),00009722402,ATGHDESENCI,
005f7fee-da07-57e7-beda-b8c1172d9f04,,,,"Medication/d2ceb86d-669f-5afd-8299-b4adc2e40bb0, Medication/3f0ea91b-152c-5457-830e-6a92d3113f26"
0060f83d-3a01-505d-8e48-b34c9be106ef,CoQ10 200 mg,10939003722,COENIND,
00639554-cd1c-5504-8980-9467f1eceabb,TraMADol (Ultram),,TRAM50,
0064cac0-4718-59e0-b8f6-3deb4a942729,,,,"Medication/b9bc9e17-af2c-5238-81d6-c58611a742c0, Medication/d32c56e9-1207-51ca-997c-2a0d217ee739"
006893b0-5efb-55b4-89bf-5cb61fc97559,Micardis HCT,,,
0069bfc6-e052-5bcc-9d57-de3bbe59ea7f,Milrinone,63323061720,PRIM1I,
006b89c2-05ed-503d-9c94-1be62b3cbc75,,,,"Medication/eb3d4917-1b08-572e-bcc4-071e7fa9cc4a, Medication/c1080604-edc1-5c52-88d4-69881e7e93d4"
006cca0b-8c0c-5d06-bd19-3a924fa0fd68,Suprep Bowel Prep Kit,,,
007b1f42-2335-5ef7-9543-4d74aa53a097,Hydrocodone-Acetaminophen (5mg-325mg),63739032610,VICODIN5-325,
008257df-9313-5c77-81e5-9daf5dd4645e,Clindamycin,00009072809,CLIN9000I,
008622ec-660d-5e71-9d3e-761e1635b767,,,,"Medication/0023ea94-a132-5c55-a2a1-77d34cfa7b3a, Medication/0c6f3d0b-105f-5445-ac7b-c22d16cac8d8"
00870e38-8583-58b2-b321-fd498123f0dd,LaMOTrigine,00093046301,,
0091f3c3-5e02-5f53-a4e2-655ccb242cbf,tea tree oil,,,
00948f7d-16b1-5f25-8c53-151ec69c232c,Nitroprusside Sodium,42998030202,NITP50DK,
0097469d-85e7-55aa-9809-c4775382c6cc,Fluphenazine HYDROCHLORIDE,63323028110,FLUP2.5I,
009924ef-c282-5ccd-9985-0149e1308864,Soriatane CK,00145430001,ACI25,
009b913b-fc6d-5060-9a66-b34b10d40376,LaM,00173066200,LAMI50HT,
009c9e1a-242a-5761-8aa5-4505df886f43,Magnesium Sulfate Replacement (Critical Care and Oncology),63323010605,MAG2PM,
00a2ddcd-24d4-546d-aa03-751ac6f58e5a,clotrimazole,00904782231,CLOT130C,
00a6b389-1bb3-5d4d-b76f-e69d53e4e4ff,ferrous sulfate-C-folic acid,,,
00a812fb-c5b4-5582-9ffe-faea03415f1f,docosahexaenoic acid,,,
00b125fe-f196-56fe-9e0c-4bf269cf24a1,Triumeq(abacavir-dolutegravir-lamivud),,,
